2017-01-08 15:01:30 startup archives unpack
2017-01-08 15:01:30 install libapr1:amd64 <none> 1.5.0-1
2017-01-08 15:01:30 status half-installed libapr1:amd64 1.5.0-1
2017-01-08 15:01:30 status unpacked libapr1:amd64 1.5.0-1
2017-01-08 15:01:30 status unpacked libapr1:amd64 1.5.0-1
2017-01-08 15:01:30 install libaprutil1:amd64 <none> 1.5.3-1
2017-01-08 15:01:30 status half-installed libaprutil1:amd64 1.5.3-1
2017-01-08 15:01:31 status unpacked libaprutil1:amd64 1.5.3-1
2017-01-08 15:01:31 status unpacked libaprutil1:amd64 1.5.3-1
2017-01-08 15:01:31 install libaprutil1-dbd-sqlite3:amd64 <none> 1.5.3-1
2017-01-08 15:01:31 status half-installed libaprutil1-dbd-sqlite3:amd64 1.5.3-1
2017-01-08 15:01:31 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.3-1
2017-01-08 15:01:31 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.3-1
2017-01-08 15:01:31 install libaprutil1-ldap:amd64 <none> 1.5.3-1
2017-01-08 15:01:31 status half-installed libaprutil1-ldap:amd64 1.5.3-1
2017-01-08 15:01:31 status unpacked libaprutil1-ldap:amd64 1.5.3-1
2017-01-08 15:01:31 status unpacked libaprutil1-ldap:amd64 1.5.3-1
2017-01-08 15:01:31 install apache2-bin:amd64 <none> 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status half-installed apache2-bin:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2017-01-08 15:01:31 status unpacked apache2-bin:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status unpacked apache2-bin:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 install apache2-data:all <none> 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status half-installed apache2-data:all 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status unpacked apache2-data:all 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status unpacked apache2-data:all 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 install apache2:amd64 <none> 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status half-installed apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status triggers-pending ureadahead:amd64 0.100.0-16
2017-01-08 15:01:31 status half-installed apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status triggers-pending ufw:all 0.34~rc-0ubuntu2
2017-01-08 15:01:31 status half-installed apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:31 install ssl-cert:all <none> 1.0.33
2017-01-08 15:01:31 status half-installed ssl-cert:all 1.0.33
2017-01-08 15:01:31 status unpacked ssl-cert:all 1.0.33
2017-01-08 15:01:31 status unpacked ssl-cert:all 1.0.33
2017-01-08 15:01:31 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2017-01-08 15:01:31 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2017-01-08 15:01:31 status installed man-db:amd64 2.6.7.1-1ubuntu1
2017-01-08 15:01:31 trigproc ureadahead:amd64 0.100.0-16 0.100.0-16
2017-01-08 15:01:31 status half-configured ureadahead:amd64 0.100.0-16
2017-01-08 15:01:31 status installed ureadahead:amd64 0.100.0-16
2017-01-08 15:01:31 trigproc ufw:all 0.34~rc-0ubuntu2 0.34~rc-0ubuntu2
2017-01-08 15:01:31 status half-configured ufw:all 0.34~rc-0ubuntu2
2017-01-08 15:01:31 status installed ufw:all 0.34~rc-0ubuntu2
2017-01-08 15:01:31 startup packages configure
2017-01-08 15:01:31 configure libapr1:amd64 1.5.0-1 <none>
2017-01-08 15:01:31 status unpacked libapr1:amd64 1.5.0-1
2017-01-08 15:01:31 status half-configured libapr1:amd64 1.5.0-1
2017-01-08 15:01:31 status installed libapr1:amd64 1.5.0-1
2017-01-08 15:01:31 status triggers-pending libc-bin:amd64 2.19-0ubuntu6.9
2017-01-08 15:01:31 configure libaprutil1:amd64 1.5.3-1 <none>
2017-01-08 15:01:31 status unpacked libaprutil1:amd64 1.5.3-1
2017-01-08 15:01:31 status half-configured libaprutil1:amd64 1.5.3-1
2017-01-08 15:01:31 status installed libaprutil1:amd64 1.5.3-1
2017-01-08 15:01:32 configure libaprutil1-dbd-sqlite3:amd64 1.5.3-1 <none>
2017-01-08 15:01:32 status unpacked libaprutil1-dbd-sqlite3:amd64 1.5.3-1
2017-01-08 15:01:32 status half-configured libaprutil1-dbd-sqlite3:amd64 1.5.3-1
2017-01-08 15:01:32 status installed libaprutil1-dbd-sqlite3:amd64 1.5.3-1
2017-01-08 15:01:32 configure libaprutil1-ldap:amd64 1.5.3-1 <none>
2017-01-08 15:01:32 status unpacked libaprutil1-ldap:amd64 1.5.3-1
2017-01-08 15:01:32 status half-configured libaprutil1-ldap:amd64 1.5.3-1
2017-01-08 15:01:32 status installed libaprutil1-ldap:amd64 1.5.3-1
2017-01-08 15:01:32 configure apache2-bin:amd64 2.4.7-1ubuntu4.13 <none>
2017-01-08 15:01:32 status unpacked apache2-bin:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status half-configured apache2-bin:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status installed apache2-bin:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 configure apache2-data:all 2.4.7-1ubuntu4.13 <none>
